time,temp,score,humid,co2,voc,pm25,lux,spl_a
2025-05-23T21:12:21.727Z,22.46,73,17.2,443,68,1,49.0,51.5
2025-05-23T21:13:21.920Z,22.64,72,17.1,445,64,0,48.9,53.9
2025-05-23T21:14:22.121Z,22.46,72,17.1,444,59,1,50.3,55.5
2025-05-23T21:15:22.317Z,22.44,73,17.2,444,60,1,50.3,56.9
2025-05-23T21:16:22.517Z,22.24,73,17.4,446,59,0,50.2,56.8
2025-05-23T21:17:22.709Z,22.27,73,17.4,448,61,0,50.2,54.6
2025-05-23T21:18:22.904Z,22.51,73,17.1,450,58,2,50.2,55.5
2025-05-23T21:19:23.100Z,22.47,73,17.1,450,64,0,50.3,54.2
2025-05-23T21:20:23.301Z,22.53,72,17.1,448,63,1,50.1,55.5
2025-05-23T21:21:23.499Z,22.46,72,17.1,447,60,1,50.2,52.9
2025-05-23T21:22:23.695Z,22.44,72,17.1,445,64,1,49.0,54.5
2025-05-23T21:23:23.889Z,22.41,72,17.1,444,57,0,189.8,52.2
2025-05-23T21:24:24.089Z,22.41,72,17.1,445,65,0,189.6,51.9
2025-05-23T21:25:24.292Z,22.57,72,16.9,446,62,1,189.6,51.9
2025-05-23T21:26:24.489Z,22.58,72,17.0,444,66,1,189.4,51.9
2025-05-23T21:27:24.686Z,22.74,72,16.8,445,67,1,189.3,52.0
2025-05-23T21:28:24.881Z,22.6,72,16.9,444,67,1,48.3,52.2
2025-05-23T21:29:25.077Z,22.43,72,17.0,445,63,1,49.0,51.1
2025-05-23T21:30:25.276Z,22.57,72,16.9,444,60,1,49.0,51.0
2025-05-23T21:31:25.473Z,22.61,72,16.8,446,66,0,49.0,51.6
2025-05-23T21:32:25.675Z,22.67,71,16.7,444,64,1,49.0,51.0
2025-05-23T21:33:25.871Z,22.75,72,16.8,442,60,1,49.0,51.1
2025-05-23T21:34:26.066Z,22.66,72,16.7,443,66,0,48.9,51.0
2025-05-23T21:35:26.267Z,22.7,72,16.8,442,60,0,49.0,51.0
2025-05-23T21:36:26.330Z,22.57,72,16.8,442,63,0,48.9,51.1
2025-05-23T21:37:26.528Z,22.66,71,16.7,439,59,1,49.0,51.2
2025-05-23T21:38:26.721Z,22.64,71,16.7,441,62,1,48.9,51.2
2025-05-23T21:39:26.914Z,22.67,71,16.7,441,60,1,49.0,51.0
2025-05-23T21:40:27.117Z,22.58,72,16.7,442,64,1,49.0,51.1
2025-05-23T21:41:27.315Z,22.44,72,16.9,443,62,0,49.0,51.3
2025-05-23T21:42:27.513Z,22.4,72,16.9,443,60,1,49.0,51.1
2025-05-23T21:43:27.709Z,22.29,72,16.9,442,62,0,48.9,51.1
2025-05-23T21:44:27.906Z,22.29,72,17.0,442,57,1,49.0,51.1
2025-05-23T21:45:28.105Z,22.51,72,16.8,444,60,1,50.1,51.6
2025-05-23T21:46:28.300Z,22.53,72,16.8,443,62,1,50.2,51.1
2025-05-23T21:47:28.501Z,22.48,72,16.7,445,61,1,50.1,51.0
2025-05-23T21:48:28.697Z,22.57,71,16.7,445,60,2,50.1,51.5
2025-05-23T21:49:28.892Z,22.66,71,16.6,443,66,0,48.9,51.3
2025-05-23T21:50:29.091Z,22.53,71,16.7,444,59,1,49.0,52.1
2025-05-23T21:51:19.257Z,22.54,71,16.7,443,63,1,48.9,51.0
2025-05-23T21:52:19.456Z,22.57,71,16.7,442,57,1,49.0,51.0
2025-05-23T21:53:19.653Z,22.5,72,16.8,443,59,1,49.0,51.0
2025-05-23T21:54:19.848Z,22.4,72,16.8,440,53,1,49.0,51.0
2025-05-23T21:55:20.046Z,22.6,71,16.6,442,59,1,48.9,51.0
2025-05-23T21:56:20.246Z,22.51,71,16.7,441,57,1,49.0,50.9
2025-05-23T21:57:20.442Z,22.44,72,16.7,439,54,1,48.9,50.9
2025-05-23T21:58:20.645Z,22.54,71,16.6,439,61,0,48.9,51.0
2025-05-23T21:59:20.841Z,22.5,72,16.7,441,55,1,49.0,51.0
