time,temp,score,humid,co2,voc,pm25,lux,spl_a
2025-05-23T23:07:24.088Z,22.56,70,16.1,434,54,2,49.1,51.3
2025-05-23T23:08:24.290Z,22.51,70,16.1,433,48,1,49.0,51.2
2025-05-23T23:09:24.483Z,22.57,70,16.1,434,54,1,49.1,51.4
2025-05-23T23:10:24.676Z,22.68,70,16.0,431,50,1,49.1,51.3
2025-05-23T23:11:24.870Z,22.53,70,16.1,430,51,1,49.1,51.3
2025-05-23T23:12:25.062Z,22.7,70,16.0,428,55,1,48.9,51.9
2025-05-23T23:13:25.255Z,22.84,69,15.9,431,60,1,188.5,52.4
2025-05-23T23:14:25.449Z,22.66,70,16.0,433,53,1,191.8,67.6
2025-05-23T23:15:25.647Z,22.61,70,16.1,434,55,1,191.7,64.7
2025-05-23T23:16:25.845Z,22.47,70,16.1,434,56,1,191.5,62.6
2025-05-23T23:17:26.038Z,22.58,70,16.1,433,58,1,191.1,59.7
2025-05-23T23:18:26.240Z,22.57,70,16.0,433,56,1,191.9,61.2
2025-05-23T23:19:26.442Z,22.81,70,15.9,432,59,1,192.2,58.7
2025-05-23T23:20:26.639Z,22.95,69,15.8,431,62,1,191.7,60.3
2025-05-23T23:21:26.838Z,22.82,69,15.9,431,58,1,192.1,62.7
2025-05-23T23:22:27.034Z,22.94,69,15.7,431,55,1,192.1,60.5
2025-05-23T23:23:27.232Z,23.01,69,15.6,431,53,1,191.7,60.0
2025-05-23T23:24:17.399Z,23.17,69,15.5,431,61,1,192.4,61.7
2025-05-23T23:25:17.598Z,23.05,69,15.6,429,56,1,49.9,54.5
2025-05-23T23:26:17.797Z,23.26,68,15.4,430,59,1,50.0,51.6
2025-05-23T23:27:17.990Z,23.19,68,15.4,427,55,1,50.0,51.6
2025-05-23T23:28:18.186Z,23.28,68,15.4,427,60,1,50.0,51.4
2025-05-23T23:29:18.386Z,23.05,74,17.9,428,60,1,475.3,52.0
2025-05-23T23:30:18.583Z,23.11,55,15.6,684,87,1,50.0,51.8
2025-05-23T23:31:18.783Z,22.85,69,15.7,498,61,1,50.0,51.7
2025-05-23T23:32:18.980Z,22.91,69,15.7,482,61,1,50.0,52.0
2025-05-23T23:39:50.346Z,23.12,68,15.4,437,57,1,50.0,51.4
2025-05-23T23:40:50.542Z,23.05,68,15.4,434,57,1,50.0,51.3
