time,temp,score,humid,co2,voc,pm25,lux,spl_a
2025-05-23T23:07:26.564Z,22.82,70,16.1,433,20,1,0.0,48.8
2025-05-23T23:08:26.758Z,22.86,70,16.0,434,20,1,0.0,48.8
2025-05-23T23:09:26.953Z,22.85,70,16.0,435,20,1,0.0,49.0
2025-05-23T23:10:27.155Z,22.93,70,16.0,430,20,1,0.0,48.6
2025-05-23T23:11:27.352Z,22.89,70,16.0,427,20,1,0.0,48.7
2025-05-23T23:12:27.550Z,22.82,70,16.0,426,20,1,0.0,49.0
2025-05-23T23:13:27.744Z,22.86,70,15.9,424,20,1,0.0,49.0
2025-05-23T23:14:27.937Z,22.79,71,16.4,427,20,1,162.6,55.5
2025-05-23T23:15:28.144Z,22.83,70,16.2,430,20,1,149.0,54.7
2025-05-23T23:16:28.337Z,22.99,70,16.3,435,20,1,154.8,53.2
2025-05-23T23:17:28.531Z,22.99,70,16.1,442,20,1,155.1,52.8
2025-05-23T23:18:28.723Z,23.02,70,16.0,446,20,1,160.7,52.6
2025-05-23T23:19:28.812Z,23.03,70,16.0,445,20,1,153.8,52.1
2025-05-23T23:20:29.005Z,23.03,70,16.2,447,20,1,147.1,52.8
2025-05-23T23:21:29.198Z,23.23,72,16.8,449,20,1,151.5,53.8
2025-05-23T23:22:29.394Z,23.18,70,15.9,454,20,2,150.2,61.9
2025-05-23T23:23:29.592Z,22.96,70,16.1,454,20,1,153.2,59.1
2025-05-23T23:24:19.753Z,23.18,69,15.9,452,20,1,153.3,63.4
2025-05-23T23:25:19.956Z,23.03,69,15.8,451,20,1,0.0,53.1
2025-05-23T23:26:20.154Z,23.04,69,15.8,450,20,1,0.0,49.4
2025-05-23T23:27:20.350Z,23.04,69,15.8,445,20,1,0.0,49.5
2025-05-23T23:28:20.548Z,22.94,69,15.9,441,20,1,0.0,49.4
2025-05-23T23:29:20.740Z,23.02,69,15.8,438,20,1,0.0,49.3
2025-05-23T23:30:20.935Z,22.96,69,15.9,436,20,1,93.8,50.3
2025-05-23T23:31:21.141Z,23.07,69,15.7,441,20,1,0.0,50.1
2025-05-23T23:32:21.337Z,23.06,69,15.7,439,20,1,0.0,49.6
2025-05-23T23:39:52.814Z,22.9,69,15.7,427,20,1,0.0,49.3
2025-05-23T23:40:53.006Z,22.94,69,15.6,428,20,1,0.0,49.4
